pole_id;sub_area;config_id;longitude;latitude
KT-2810;2800 KETTNER BLVD;12494;-117,173579;32,733112
KT-2710;2700 KETTNER BLVD;12494;-117,173218;32,732636
KT-2702;2700 KETTNER BLVD;12494;-117,173028;32,732216
P-2926;2900 PACIFIC HIGHWAY;9000;-117,17625;32,733556
KT-2704;2700 KETTNER BLVD;12494;-117,173073;32,73232
KT-2700;2700 KETTNER BLVD;12494;-117,172983;32,732113
KT-2706;2700 KETTNER BLVD;12494;-117,173124;32,732438
P-2916;2900 PACIFIC HIGHWAY;9000;-117,175854;32,733105
KT-2708;2700 KETTNER BLVD;12494;-117,173168;32,732538
P-2914;2900 PACIFIC HIGHWAY;9000;-117,175763;32,733003
P-2922;2900 PACIFIC HIGHWAY;9000;-117,176088;32,733372
P-2908;2900 PACIFIC HIGHWAY;9000;-117,175529;32,732736
P-2918;2900 PACIFIC HIGHWAY;9000;-117,175926;32,733187
P-2920;2900 PACIFIC HIGHWAY;9000;-117,176016;32,73329
P-2924;2900 PACIFIC HIGHWAY;9000;-117,176178;32,733474
P-2912;2900 PACIFIC HIGHWAY;9000;-117,175691;32,73292
